news_content,impact_type
"A motion requested by the faculty
The vote was called for by the university's faculty, members of Regent House, one of the school's governing bodies. Some 84 professors supported the motion, which targets all companies developing new fossil fuel infrastructures, exploring new oil or gas fields, or belonging to an anti-climate lobby. Indeed, the motion explains that ""while making donations to Cambridge University, fossil fuel companies continue to pay dues, some in excess of $10 million a year, to industry lobby groups such as the American Petroleum Institute, which promote fossil fuel expansion and lobby against climate regulations"".",Opportunity
"The financial stakes are high. According to an article in the English daily The Guardian, Cambridge University will have received nearly £14 million from oil and gas companies between 2017 and 2021. It is one of the English universities most supported by the oil industry, along with Imperial College London.",Opportunity
"A world first according to the NGO Fossil Free Research
The move is particularly original when seen in the French context. Polytechnique, in Saclay, has experienced similar controversy in recent years, when the engineering school agreed to allow TotalEnergies to set up a low-carbon energy research institute on its campus. As at Cambridge, students spoke out against the project, believing it was a way for the French major to increase its influence over the school. But at Polytechnique, a vote was out of the question.",Opportunity
"Student protests, a lawsuit brought against the CEO of TotalEnergies for taking an illegal interest, a proposal by the school's management to move the building... the controversy lasted several months. It was only in January 2022 that TotalEnergies withdrew from the project. In Cambridge, if the vote is in favor of the motion tabled by the 84 members of Regent House, the procedure should therefore be easier. The NGO Fossil Free Research believes on Twitter that, if it passes, ""Cambridge would be a world leader in implementing a comprehensive fossil-free research policy, ending the toxic capture of critical climate research by corporations who devote all their economic and political power to climate degradation"".",Opportunity
"TotalEnergies' mega-projects to extract oil (Tilenga) and build a huge oil pipeline (Eacop) in Uganda and Tanzania have already aroused the ire of civil society and certain investors. Now it's the turn of the European Parliament to condemn them for their impact on human rights and the environment. The institution is calling for the launch of this ""climate bomb"" to be postponed for a year.",Risk
"Opposition to TotalEnergies' oil extraction (Tilenga) and pipeline (Eacop) projects in Uganda and Tanzania is mounting. After citizens, NGOs and investors, it's now the turn of the European Parliament to condemn this oil megaproject, which includes the construction of the world's longest heated pipeline (over 1,400 kilometers). Meeting in plenary session on Thursday September 15, MEPs voted by a large majority in favor of a non-binding text condemning the project. The institution said it was ""deeply concerned by the human rights violations"" committed, citing ""arrests, acts of intimidation and judicial harassment against human rights defenders and non-governmental organizations"".",Risk
"The European Parliament is calling for a halt to drilling in ""protected and sensitive"" areas, and for the French group to take a year before launching the project to study ""the feasibility of an alternative route"" and to ""consider other projects based on renewable energies"". The MEPs also called for an end to human rights violations, including the ""immediate"" release of human rights defenders. Finally, they call for compensation to be paid ""swiftly, fairly and adequately"" to those who have been expropriated and deprived of their land.",Opportunity
"An important step forward in the fight against Eacop
While these megaprojects once raised the hopes of the Ugandan authorities to see their country transformed into an oil Eldorado, they are now the subject of the most serious concern. Associations fear the displacement of over 100,000 people, including tens of thousands of farmers who will be deprived of their land. In addition, the construction of the pipeline and the drilling of hundreds of oil wells in several nature reserves represent an ecological threat to this region, which is rich in biodiversity.",Risk
"Eacop's many opponents therefore welcome the European Parliament's decision, starting with Juliette Renaud, Campaigner at Friends of the Earth, for whom this decision ""sends a strong political signal against Total's Tilenga and EACOP projects, whose human, environmental and climatic costs are undeniable and quite simply unacceptable"".",Opportunity
"Clémence Dubois, head of the French NGO 350.org, is equally satisfied: ""This is an important step forward in the fight against Eacop"", says the activist, who describes the project as a ""climate bomb"". ""We will not stop until the project is stopped. No bank or financier currently supporting Total can ignore its responsibility"", she adds. Citizen mobilization has already prompted 11 banks, including BNP Paribas, Crédit Suisse and JPMorgan Chase, and three insurance companies, including Axa, to refuse to finance the project.",Opportunity
"A ""major stake for Uganda"" according to TotalEnergies
For its part, TotalEnergies believes that these projects ""represent a major challenge for Uganda and Tanzania"". ""We're doing everything we can to make it an exemplary project in terms of transparency, shared prosperity, economic and social progress, sustainable development, respect for the environment and human rights,"" says a spokesperson. To illustrate its commitment to transparency with regard to Tilenga and EACOP, TotalEnergies recalls its commitments on the project's dedicated website: a land acquisition program in line with the highest international standards, consultation of 70,000 people on the project's environmental and social impacts, and special attention paid to Murchinson Falls Park to minimize the impact of the Tilenga pipeline. Finally, TotalEnergies is committed to ensuring that both projects have a net positive impact on biodiversity, which implies that the company will offset the environmental damage caused by oil production with programs to ""reintroduce the black rhinoceros to Uganda"" and, wherever possible, ""encourage the maintenance of forest habitats to protect chimpanzees"". The oil company accelerated its launch in February by signing a $10 billion investment agreement with Uganda, Tanzania and Chinese oil giant CNOOC.",Opportunity
"But the final straw could come from French law. NGOs have launched a legal action against the oil group in France, based on the ""duty of vigilance"" law (which obliges major companies to prevent serious human rights and environmental abuses throughout their supply chain). After a two-year procedural battle, last November the French Supreme Court (Cour de Cassation) recognized the jurisdiction of the judicial court, and not the commercial court as TotalEnergies had wished, to judge this case. A hearing on the merits will be held on October 12. This will be the first court case to deal with non-compliance with this law.",Risk
"Taking the train for free is now possible for thousands of Spaniards. Faced with rising fuel prices, the Spanish government has announced a number of measures to encourage the use of public transport until the end of 2022. It's a measure that's good for travelers' wallets, but also for the planet, and it's gaining ground across Europe.",Opportunity
"More than 600,000 passengers have already taken advantage of this offer. Since September 1, Spaniards have been able to travel free of charge on several of the country's rail lines, until December 31, 2022. The initiative applies to the ""Media Distancia"" regional networks and the ""Cercanías"" suburban networks running around major cities such as Madrid, Barcelona and Seville.",Opportunity
"To benefit from this service, passengers must purchase a pass valid for four months and pay a deposit of 10 to 20 euros, which will be refunded if they have made at least 16 journeys by the end of the year. Only subscriptions will be covered, as single tickets will not be reimbursed. According to Renfe, the Spanish railroad company, 75 million journeys should be covered by this discount.",Opportunity
"At the same time, the government has introduced a 30% reduction on fares for public transport services such as bus and metro, encouraging municipalities to make an additional effort. A total envelope of over 200 million euros has been released to finance the operation, which can be extended ""if necessary"" according to Raquel Sánchez, the Minister of Transport.",Opportunity
"Limiting expenditure and carbon footprint
These exceptional measures, announced last July by Prime Minister Pedro Sanchez, are designed to counter the rise in prices linked to the war in Ukraine, with inflation exceeding the 10% mark this summer. The aim is also to encourage the use of public transport to limit the country's carbon footprint. ""We want to relieve citizens who are suffering greatly from rising fuel prices. The initiative allows people to opt for a more sustainable means of transport and, at the same time, reduce Spain's energy bill"", emphasizes César Ramos, deputy of the Spanish Socialist Workers' Party, in the pages of the daily El País.",Opportunity
"Over the four months of the scheme, for example, savings could amount to up to 370 euros for a person traveling in the Madrid region, and even up to 1,300 euros for a regular user of the Seville-Cadiz line, according to a press release from the Ministry of Transport, Mobility and Urban Programs. On the environmental side, ""each journey transferred from a private vehicle to public transport will avoid on average between 73% and 80% of CO2 emissions"", claims the Ministry.",Opportunity
"Towards more sustainable mobility in Europe
Will free travel trigger a transition to more sustainable mobility? For María Eugenia López, deputy director of the Transport Research Centre at the Polytechnic University of Madrid, the initiative is too brief to spur real change. ""It's a good opportunity to achieve a massive change in means of transport, but it's very optimistic to think that with such a temporary measure, people will abandon the car and switch to the train,"" she tells El País newspaper. What's more, part of the territory, poorly served by regional networks and far from major urban centers, does not benefit from the discounts.",Opportunity
"While some experts point to the limits of the operation, Spain is part of a growing European dynamic. Following in the footsteps of Austria, with its 3 euro a day climate ticket for travel on all the country's public transport systems, Germany launched a monthly ticket for 9 euros over the summer. The experiment was a resounding success, with nearly 52 million passes sold in just three months, helping to avoid the emission of 1.8 million tonnes of CO2. In France, deployment of a similar measure is still pending, despite calls from environmental NGOs.",Opportunity
"In the face of the energy crisis and climate emergency, renewable energies appear to be the obvious solution. While new installed capacity is breaking records, it is still far from sufficient to keep pace with rising electricity consumption, giving the impression of running behind a train we'll never catch...",Opportunity
"This is one of the first bills to be voted on this autumn. This is the bill to accelerate the development of renewable energies (ENR). It aims to exceed 180 gigawatts (GW) of renewable energy by 2050, thanks to the introduction of ""temporary, strong and systemic"" emergency measures such as a reduction in environmental assessment obligations, an increase in the number of solar panel siting options, and the pooling of offshore wind power debates by maritime facade.",Opportunity
"France is seriously lagging behind in this area, particularly in relation to its European neighbors. It is the only country in the European Union to have missed its 2020 targets. But against the backdrop of the energy crisis, exacerbated by the war in Ukraine, and the climate crisis, it intends to pull out all the stops. According to data published by the French Ministry of Ecological Transition, the first positive signs are already visible for the first half of 2022.",Opportunity
"Wind power production down in 1st half
One additional gigawatt of wind-generated electricity was connected in the first six months of the year, four times more than in the same period of 2021. Almost half of this increase in capacity is due to the commissioning last spring of France's first offshore wind farm, off Saint-Nazaire (Loire-Atlantique). By June 30, the French wind farm had reached a capacity of 20 gigawatts. The country's target is to reach 24.1 GW of wind-generated electricity by the end of 2023.",Opportunity
"But wind power generation, which accounts for 7.8% of French electricity consumption, fell by 11% compared with the second quarter of 2021, due to ""more unfavorable wind conditions"", notes the Ministry. On the solar photovoltaic side, however, electricity production increased by 32% compared to the first half of 2021, representing 3.8% of French electricity consumption over the period. In total, the capacity of the solar photovoltaic park stands at 15.2 GW, against a target of 20.1 GW by the end of 2023. There are still significant gaps to be bridged...",Risk
"Fossil fuels as a response to the crisis
On a global level, there is also cause for concern, despite record growth in renewable energies for 2021. According to REN21's new report, published in mid-June, the share of renewable energies in global energy consumption is stagnating, as their growth has not been sufficient in the face of rising energy consumption and a further increase in the use of fossil fuels. The organization concludes that the energy transition is a missed opportunity.",Risk
"""After two years of pandemic, major nations had promised to seize the opportunity to initiate a green recovery, but this opportunity has not materialized,"" note the report's authors. ""While in 2021 more and more governments pledged to achieve carbon neutrality, the reality is that, in response to the crisis, many countries are returning to developing new sources of fossil fuels and burning more of them,"" explains Rana Adib, Executive Director of REN21.",Risk
"What's more, the second half of 2021 saw the greatest energy crisis in history, exacerbated by Russia's invasion of Ukraine, marking the end of the era of cheap fossil fuels. ""The old energy regime is collapsing before our very eyes - and with it the global economy"", says Rana Adib. He adds: ""Yet there's no need to pit crisis response against climate goals. Renewable energies are the best and most affordable option for controlling price volatility. We need to increase the share of renewable energies and make them a priority in economic and industrial policies. You can't put out a fire with a flamethrower"".",Risk
"After Spain, Italy and Germany, it's now France's turn to suffer the wrath of the Energy Charter Treaty (ECT). This text enables investors to attack a country that changes its energy policy against them. In this case, German renewable energy producer Encavis AG is attacking Paris for changing its photovoltaic feed-in tariffs. Numerous personalities and NGOs are calling on the European Union to get out of the ECT.",Risk
"For the first time in its history, France has been officially prosecuted under the Energy Charter Treaty (ECT). Signed in 1994 by some 50 countries, this treaty enables multinationals and investors to take governments to court if they modify their energy policies in a way that runs counter to their interests. Although France has been threatened in the past, it has never yet been the target of such an attack.",Risk
"On September 2, the German company Encavis AG and three of its subsidiaries filed a complaint. Encavis produces renewable electricity and operates over 160 solar farms and more than 60 wind farms in Europe, notably in Germany, Italy, France and the UK. It has launched an arbitration procedure against France following the change in feed-in tariffs for photovoltaic electricity in 2020.",Risk
"""Enemy of our energy sovereignty"".
In 2000, to support the boom in photovoltaic power generation, the French government introduced a 20-year feed-in tariff at a very attractive price (up to 550 euros per megawatt-hour). However, in view of the growing number of projects and the sharp fall in the price of photovoltaic equipment since 2009, the government decided in 2020 to ""put an end to the excessive remuneration"" of certain producers. Just over 1,000 photovoltaic farms were affected by the measure, according to the French Energy Regulatory Commission.",Risk
"""What we have to bear in mind is that the TCE is an enemy of our energy sovereignty, because it prevents any change in the system. It's a real vicious circle: as a government, you want to develop renewable energies, you set up incentives, which are necessarily temporary, and as soon as you stop them, you get attacked and you lose more money..."", analyzes Yamina Saheb, a specialist in energy and climate policies, who has worked for the TCE secretariat.",Risk
"The practice is not new, even if the media have tended to focus on procedures concerning fossil fuels. Spain, for example, is the country that has been most attacked over changes to feed-in tariffs for renewable electricity. By 2020, it had accumulated some fifty complaints. In response, a decree was issued to raise the rate of return on renewable installations, with the result that today, ""it is one of the countries where the price of photovoltaics is the highest, partly due to the ECT"", explains Yamina Saheb.",Risk
"The clock is ticking
The specialist, along with numerous climatologists and NGOs, has been calling for an exit from the treaty for several years. ""Encavis' complaint is yet another opportunity to put pressure on the French government, which can no longer turn a deaf ear. It illustrates the extent to which we are stuck in our efforts to make progress on the energy transition"", laments Yamina Saheb. The case comes on top of the legal action brought by five young victims of climate change before the European Court of Human Rights on June 21 against twelve ECT member states, including France. This is the first climate lawsuit to link the Energy Charter Treaty to climate victims.",Opportunity
"Time is running out. All the parties involved in the ECT, including the EU member states (all signatories except Italy, which withdrew from the ECT in 2016), the former Soviet bloc countries, Japan, Yemen and Afghanistan, are meeting at the end of November to adopt an agreement to modernize the text. This will extend investment protection to new energies (carbon capture and storage, biomass, hydrogen, synthetic fuels, etc.) and exclude from the scope of the Treaty the protection of investments in fossil fuels made after August 2023 and those that will be more than ten years old by that date.",Opportunity
"""The current process of modernizing the Energy Charter Treaty will not solve any of the problems raised. In addition to the million people in Europe who have signed a petition to this effect, Spain, the Netherlands and Poland are considering withdrawing from the ECT. So is the European Parliament. France, on the other hand, has remained silent throughout the French presidency of the EU. It's time to accelerate the movement"", reacts the Stop Ceta-Mercosur collective in a press release.",Opportunity
"Subsidies on fossil fuels, which are harmful to the planet, almost doubled in 2021 and are set to rise sharply again in 2022. This is due to rising energy prices, exacerbated since last February by the war in Ukraine. In response, many governments have introduced public support schemes for consumers and/or producers. The OECD and the IEA are calling for targeted measures and investment in the low-carbon transition.",Risk
"No change of course. Fossil fuel subsidies are on the rise again in 2021, according to a new study published this week by the OECD, which covers the 51 largest economies, representing 85% of the planet's total energy supplies. After the sharp drop in 2020 due to the Covid-19 pandemic, public support for fossil fuels has almost doubled year-on-year, rising from $362 billion to $697 billion, even exceeding the level of 2019, which represents the latest reference year.",Risk
"""The trend is back upwards, due to the rise in energy prices associated with the recovery of the global economy, after a particular year in 2020. We might have hoped that governments would take advantage of the pandemic, in a context of low consumption and low prices, to change gear, but that didn't happen,"" confirms OECD analyst Grégoire Garsous to Novethic.",Risk
"Consumer support three times higher than in 2020
According to OECD data, fossil fuel-related budget transfers and tax breaks in the G20 economies alone have risen from $147 billion in 2020 to $190 billion in 2021. ""Support for producers has reached levels that the OECD has never before observed in its monitoring activities,"" notes the organization. Support for consumers, meanwhile, has risen to $531 billion in 2021, more than three times its 2020 level, driven by soaring energy prices.",Risk
"Many governments have introduced protective measures to support their populations. In France, for example, several schemes have been deployed, such as the pump rebate, the energy voucher or the tariff shield, without necessarily targeting the most vulnerable households or those most affected by price rises. Since autumn 2021, these schemes have already cost 24 billion euros, according to the Ministry of the Economy and Finance.",Risk
"In another study published at the beginning of July, the OECD calculates that between October 2021 and December 2022, the public support measures implemented in 42 economies to mitigate the impact of rising energy prices in the short term will have cost a total of $246 billion in public money, of which $169 billion will have gone to fossil fuels.",Risk
"""Many governments are changing consumer prices, and therefore the price signal for consumers, who no longer have as many incentives to reduce their consumption or seek alternatives to fossil fuels. This choice puts climate objectives on the back burner"", analyzes Grégoire Garsous. ""It's a very complicated situation, because some people absolutely cannot do without hydrocarbons. But what we recommend is to take targeted measures that don't affect prices,"" he continues.",Risk
"""Increasing investment in clean technologies is the only sustainable solution""
""Fossil fuel subsidies are an obstacle to the emergence of a more sustainable future, but the problems governments face when trying to overcome them are exacerbated in times of rising and volatile energy prices,"" notes Fatih Birol, Executive Director of the International Energy Agency (IEA), also a stakeholder in this work. ""Increasing investment in clean energy technologies and infrastructure is the only sustainable solution to the current global energy crisis, and the best way to reduce consumers' exposure to high fuel costs"".",Risk
"What's more, the OECD warns that these environmentally damaging subsidies are set to increase further in 2022, against a backdrop of continuing price rises, exacerbated by the war in Ukraine. This runs counter to the goal of carbon neutrality and the many commitments to end fossil fuel subsidies to which both institutions regularly call... to no avail.",Risk
"More than ever, the government's return to work seems to be under the banner of climate change. After a ministerial seminar led by renowned climatologist Valérie Masson-Delmotte, and a Defense Council meeting devoted to energy in an unprecedented way, against the backdrop of the war in Ukraine, there is a clear determination to put climate and energy issues at the top of the agenda. All the more so as numerous texts are expected on these subjects this autumn. Novethic takes stock.",Opportunity
"Energy efficiency plan
In early October, Prime Minister Élisabeth Borne will present a general plan for energy sobriety. The aim is to reduce energy consumption by 10% over the next two years, compared with 2019, to avoid the government imposing cuts in consumption. All sectors are called upon to contribute. Businesses,"" the Prime Minister reminded participants at the Medef Summer University, ""will be the first to suffer in the event of rationing. She is therefore calling on all companies to draw up their own sobriety plans in September.",Opportunity
"Renewable energies acceleration bill
The bill to accelerate the development of renewable energies (ENR) will be presented to the Council of Ministers by the end of September. It is one of the first texts to be examined by Parliament in October. It aims to exceed 180 gigawatts (GW) of renewable energy by 2050, thanks to the implementation of ""temporary, strong and systemic"" emergency measures.",Opportunity
"France is seriously lagging behind its European neighbors due to ""our cumbersome administrative and litigation procedures"", explains the government in its explanatory memorandum. On the text's menu, therefore, is a lightening of environmental assessment obligations, the multiplication of possibilities for the siting of solar panels, and the pooling of debates by maritime facade for offshore wind power. Some already fear a regression in environmental law.",Opportunity
"Finance Bill 2023
Parliamentarians will then have to work on the 2023 Finance Bill (PLF). Emmanuel Macron has pledged to invest an additional €10 billion a year in the ecological transition to help the French renovate their homes, offer them low-carbon mobility solutions or support the transition of farmers. More recently, Élisabeth Borne also promised to release a 1.5 billion euro green fund to support local authorities in the ecological transition. Observers also expect a debate on an investment programming law.",Opportunity
"In an article published in Le Monde, Barbara Pompili and Pascal Canfin stated that a ""climate programming law that will organize financial resources over the entire five-year period [will be passed before the end of 2022 to] secure budgetary appropriations and thus provide visibility"". The green budget, which lists spending that is harmful to the environment, will also be closely scrutinized. ""We're calling for a halt to fuel and heating oil subsidies for everyone, and for them to be targeted at the most modest, based on income,"" says Anne Bringault of the Climate Action Network (RAC).",Opportunity
"Energy-climate programming law
""The energy-climate programming law (LPEC) will be the major law marking the start of the five-year term in the fight against climate change"", notes think tank I4CE. Its aim is to adapt France's major objectives to Europe's heightened climate ambitions. The law is also part of the French energy-climate strategy (SFEC), which the Prime Minister refers to as ""ecological planning"" and which is due to be voted on by summer 2023. This SFEC must also include the third edition of the National Low-Carbon Strategy (SNBC), the National Plan for Adaptation to Climate Change (PNACC) and the Multiannual Energy Program (PPE 2024-2033).",Opportunity
"""Over the course of the autumn, this process will be launched for all sectors, with the aim of producing a first complete vision of our ecological planning by the end of the year. Ongoing monitoring of implementation will be carried out by the new General Secretariat for Ecological Planning. This monitoring must be transparent. We want to share it with the French people. A dashboard will be made public. Everyone will be able to see where we stand. What's progressing. And what remains to be done"", Elisabeth Borne explained in detail.",Opportunity
"Shifting your electricity consumption can make a difference. This is the message that RTE wants to get across through the Ecowatt system launched with Ademe. The tool, available free of charge on the Internet, enables users to find out if there is any tension on the network, and offers the French the chance to receive an alert in the event of a high risk, so as to avoid blackouts by adopting simple eco-gestures such as running the washing machine at 10pm rather than 7pm.",Opportunity
"Faced with power supply risks this winter, there's a tool that would benefit from widespread distribution. It's called Écowatt, and it's been set up by RTE, the electricity grid operator, and Ademe, the public agency in charge of ecological transition. First deployed in Brittany, PACA and Normandy-Ile-de-France, Écowatt has been extended to the whole of France in 2020. The tool, available free of charge on the Internet, works like an electricity weather forecast, indicating in real time the level of electricity consumption in the country, region by region.",Opportunity
"Equipped with a voltage or power cut warning system, it indicates the most appropriate times to reduce or postpone consumption. For example, we advise you to avoid switching on your household appliances or charging your electric car or cell phone between 8 a.m. and 1 p.m. and between 6 p.m. and 8 p.m., when consumption peaks. These seemingly innocuous eco-gestures, if applied on a massive scale, would have a very tangible impact on electricity consumption and prevent power cuts, assures RTE. For example, if everyone in France were to switch off just one light bulb, 600 megawatts would be saved, equivalent to the electricity consumption of a city like Toulouse.",Opportunity
"The power of a nuclear reactor saved
Another example: on April 4, during the cold snap. RTE's Ecowatt alert announcing tension on the power grid saved the equivalent of a nuclear reactor's output, ""a sign that conscious, well-informed consumers have the power to act and have an impact on a national scale"", comments Nicolas Goldberg, in a note published this summer by the Terra Nova think-tank on sobriety.",Opportunity
"""For example, an 'energy weather forecast' could be added to the weather bulletins on the news channels, as the latter are highly dependent on temperatures, to raise awareness of the risks to power supplies on certain days,"" suggests the energy specialist. The aim is to ensure that tensions on the power grid become as widely distributed and integrated as, for example, the Bison Fûté bulletins, so that everyone can act accordingly.",Opportunity
"The scheme applies to individuals, local authorities and businesses alike. The Carrefour Group has already committed to reducing or shifting its electricity consumption in its stores during periods of high voltage for the electrical system (red signal), by, for example, dimming lights in its stores or reducing heating. Other companies will be joining the scheme, a new simplified version of which will be rolled out in September.",Opportunity
"Stop paying your energy bill. One million Britons have joined the ""Don't pay"" movement in the face of soaring electricity and gas prices. Across Europe, tension is mounting, contained by various government shields. But it's the ""relevance of the energy market"" that needs to be called into question. The only solution is to reduce energy consumption.",Opportunity
"This is a first. According to Bloomberg, the reference price for electricity in Europe exceeded 1,000 euros per megawatt-hour last week. A year ago, the wholesale price in France and Germany was around 85 euros, demonstrating the impressive surge in prices. The same is true of gas, which recently topped 300 euros, compared with 50 euros before the crisis. Faced with almost unaffordable bills, anger is rising in some countries. In the UK, where the Office of Gas and Electricity Market (Ofgem) announced an 80% jump in prices in October, the ""Don't pay"" citizens' movement has just been launched.",Opportunity
"""Millions of us won't be able to pay our energy bills this winter. We can't let that happen,"" explain the movement's initiators in a statement. ""We are building our strength by mobilizing for a non-payment strike. This means bringing together all those who want to challenge this rigged system,"" they write. More than a million Britons have already pledged to stop making payments from October 1.",Opportunity
"Energy market reform
Questioned on this subject by BFM, government spokesman Olivier Veran assures us that ""what is happening in England will not happen in France"". ""We're going to mitigate the rise in prices for the French, probably with an even greater focus on the working classes and those entering the middle classes, as we've been doing since the start of this inflation crisis"", he explains. But the rebellion is growing. The Communist mayor of Montataire, in the Oise region, has simulated his future electricity bill. He estimates that it will be multiplied by four. We don't have a war chest,"" he says, ""we have to vote for a balanced budget. How do I find the missing 1.9 million euros? Which service do I close? Do I stop school meals, do I close the town hall three days a week?"" insists Jean-Pierre Bosino in a press release.",Opportunity
"In Slovakia, some school and municipality representatives are also fearing that they will have to close their schools, or at least part of them, because of rising energy prices. European governments everywhere are trying to limit the damage, but the situation is unpredictable. Hence Austrian Chancellor Karl Nehammer's call for a European tariff shield. ""We must stop this madness that is currently raging on the energy markets"", he declared, believing that it was only possible to act within a European framework and not just a national one.",Risk
"For Sandrine Ferrand, energy specialist and Head of ESG and Climate at Novethic's research center, ""we are currently going through a systemic crisis that calls into question the relevance of the market"". Today, any company can improvise itself as an energy supplier, without even producing or transporting energy. All they have to do is source it from the markets.",Risk
"The age of sobriety
""The European Commission predicted that opening up markets would bring prices down for consumers. But if systemic crises multiply - and we can expect them to do so in a world affected by climate change - it will be difficult to return to very low price levels. All the more so at a time when Europe is looking to green its energy mix, and when a great deal of investment is needed. Will a reform of market rules be enough to stem the tide? That's the question,"" she sums up.",Opportunity
"Is this the ""end of abundance"" evoked by President Emmanuel Macron in his speech last week? In any case, the French Prime Minister made it clear at the Medef summer university: ""If we have to resort to rationing, businesses will be the first to suffer"", she said. France has pledged to reduce its energy consumption by 10% by 2019 within the next two years. ""Sobriety is often mistakenly associated with degrowth or a ""return to the candle"", but it will be necessary to reduce our energy consumption and collectively face up to the energy shock we are already experiencing"", points out specialist Nicolas Goldberg in a Terra Nova note.",Opportunity
"Several experts from the International Atomic Energy Agency (IAEA) are on their way to the Zaporizhia power plant in southern Ukraine, the most powerful in Europe. At the heart of the conflict, this facility, occupied by the Russians since the start of the invasion, is regularly targeted by bombardments, raising fears of a Fukushima-type accident. So far, no radioactive leaks have been reported, but the IAEA's aim is to demilitarize the site and its surroundings, and thus ease the tension.",Risk
"After long months of waiting, a mission from the International Atomic Energy Agency (IAEA) is now on its way to Ukraine's Zaporizhia nuclear power plant, Europe's largest and most powerful, at the heart of the conflict between Ukraine and Russia. Occupied by Moscow shortly after the launch of the invasion, the facility has six reactors, each rated at 1,000 megawatts, and is regularly fired on and bombed, raising fears of a major accident.",Risk
"""The day has come, the IAEA mission to Zaporizhia is now on its way. We must protect the safety of Ukraine and Europe's largest power plant,"" wrote IAEA Director General Rafael Grossi on Twitter, noting that the mission would arrive there ""later this week"". ""This mission will be the toughest in the history of the IAEA, due to Russia's combat activity on the ground"", said Ukrainian Foreign Minister Dmytro Kouleba during a visit to Stockholm.",Risk
"Power plant disconnected from the grid for several hours
 The G7 countries, ""deeply concerned"" about the risk of a nuclear accident, called for guaranteed ""unhindered"" access to the plant for IAEA personnel. ""Any attempt by Russia to disconnect the plant from the Ukrainian power grid would be unacceptable"", warned the G7. Tensions escalated at the end of last week. On Thursday August 25, the plant's two remaining reactors were completely disconnected from the national grid due to damage to power lines, before being reconnected and restarted in the evening. A first in the plant's history.",Risk
"""The plant's infrastructure has been damaged and there is a risk of hydrogen leakage and radioactive spraying,"" warned Energoatom, the operator of Ukraine's power plants, on Saturday. On Monday, August 29, it posted on its Telegram account that the Zaporizhia plant ""is operating with the risk of violating radiation and fire safety regulations"". In addition, according to the operator, ""10 residents have been injured"" as a result of the shelling that has occurred over the past 24 hours, including four plant employees.",Risk
"Faced with this situation, President Volodymyr Zelensky urged the UN nuclear watchdog to send a team as soon as possible on Friday August 26. For his part, Russian President Vladimir Putin agreed to the organization of a mission ""via Ukraine"" rather than Russia, as he had previously demanded, and considers the IAEA inspection mission ""necessary"". The two countries constantly accuse each other of carrying out bombing raids near the complex on the Dnieper River, thereby endangering the site.",Risk
"""Fukushima-type releases"".
""A nuclear disaster at this type of reactor would not lead to radioactive release mechanisms identical to those at Chernobyl reactor number 4 (...) However, scenarios (...) leading to Fukushima-type releases can be seriously envisaged"", says Bruno Chareyron, director of the laboratory of the Commission de recherche et d'information indépendantes sur la radioactivité (Criirad), quoted by Le Monde.",Risk
"The plant is equipped with some twenty emergency generators, which could take over in the event of a power cut to ensure cooling of the reactors. But the plant was not designed to take into account potential damage due to armed conflict. As a precaution, the regional authorities have launched an information campaign explaining to the population how to use iodine, in the event of a radioactive leak, within a 50-kilometer radius of the plant. The Zaporijjia town hall has also distributed iodine tablets to residents.",Risk
"Napoleon III, World's Fair... the spotlight
Mouchot, piqued by curiosity, discovers the fate of Horace Bénédict de Saussure, a mountaineering physicist and inventor of the ""solar cooking pot"". It was while trying to reproduce the latter that Augustin Mouchot discovered solar energy. ""He had created a device that could heat without wood or coal, oil or gas, powered solely by starlight"". Augustin Mouchot was already imagining an industrial application for this invention. Helio-thermal pumps capable of ""raising water in lakes, canals and basins"". But that was without taking into account the black gold of the 19th century: coal.",Risk
"While Augustin Mouchot foresaw the enormous potential of his invention, the world, in the midst of the Industrial Revolution, was digging underground galleries in search of the Holy Grail, when Mouchot turned to the heavens. Despite presenting his invention, christened Octave, to Napoleon III, and attending the Paris Universal Exhibition in 1878, the inventor fell into oblivion. A story that is resurfacing today, with particular resonance against the backdrop of the energy crisis. Faced with this situation, many countries have decided to revive their coal-fired power plants, despite their impact on global warming. Two centuries after Augustin Mouchot's invention, coal is still king.",Risk
"Le Monde claims that TotalEnergies is co-exploiting a deposit in Russia, the product of which, transformed into kerosene, is used by Russian army aircraft engaged in the Ukraine. The French oil giant has been urged to ""shed some light"" on the matter by the Minister Delegate for Transport, Clément Beaune. Initially, the energy company formally denied these accusations. Then the French company announced that it was selling its stake in a Russian gas field to its partner, Novatek. However, the French oil giant insists that the sale agreement was concluded before Le Monde's revelations.",Risk
"TotalEnergies' role in Russia's war in Ukraine is unclear. Unlike most of its competitors, such as BP, Shell, Exxon, Equinor and Eni, the French oil giant did not immediately suspend its activities in Russia. Then, following revelations in the newspaper Le Monde, the French energy company announced that it was disengaging further from the country.",Risk
"TotalEnergies has announced that it is selling its 49% stake in the Termokarstovoye gas field in Russia to its partner Novatek. The agreement was signed on July 18 and validated by the Russian authorities on Thursday, ""enabling TotalEnergies and Novatek to sign the definitive agreement for the sale of the 49% stake in Terneftegaz on August 26, 2022"", the Tricolor group points out.",Risk
